year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,latitude,longitude
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.46946902,100.5488937
2025,"ชลบุรี","หลับใน","แจ่มใส",0,0,0,0,13.39718645,101.2811767
2025,"สตูล","มีสิ่งบดบังการมองเห็น","มีหมอก/ควัน/ฝุ่น",0,0,1,1,6.988392,99.846703
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.66435,100.53543
2025,"อุทัยธานี","หลับใน","แจ่มใส",0,4,0,4,15.45203213,100.0219305
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,14.38551638,100.6030659
2025,"กาฬสินธุ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,16.41232573,103.4831455
2025,"กระบี่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,7.596218,99.068039
2025,"ตราด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.275186,102.516304
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,0,0,14.22689368,100.7058804
2025,"บุรีรัมย์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,15.57484836,102.8326616
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","มืดครึ้ม",0,0,1,1,15.40246,100.972783
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.80947784,99.93766387
2025,"นครปฐม","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,13.77644613,100.3281623
2025,"ยะลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,5.771293518,101.104454
2025,"ตราด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.28812585,102.6148923
2025,"สุพรรณบุรี","เมาสุรา","แจ่มใส",0,1,0,1,14.95364,100.054923
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","อื่นๆ",0,2,0,2,15.327459,101.212316
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",0,0,2,2,18.88809541,98.82950887
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",0,1,0,1,18.51724581,98.46356302
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.58562795,100.8480459
2025,"พิจิตร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,16.22409689,100.3852437
2025,"ชุมพร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,10.23145957,99.17111233
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,1,1,14.26807108,100.7906911
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,8.092193718,99.66403395
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,17.787665,103.109352
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,13.39878589,100.9879938
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,4,4,13.30906746,101.3321735
2025,"มหาสารคาม","ทางโค้งอันตราย","มืดครึ้ม",1,0,0,0,15.623033,103.217048
2025,"ฉะเชิงเทรา","เมาสุรา","แจ่มใส",0,1,0,1,13.604799,100.935334
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,7.853776976,98.3558684
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,16.323793,104.277014
2025,"สุราษฎร์ธานี","ไม่คุ้นเคยกับการขับขี่ด้านซ้าย","แจ่มใส",0,0,1,1,9.577874021,99.98052548
2025,"ประจวบคีรีขันธ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,11.37781346,99.52392742
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.013722,101.6968417
2025,"อ่างทอง","หลับใน","แจ่มใส",0,1,0,1,14.631499,100.465003
