year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,severityScore,riskLevel
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"สตูล","มีสิ่งบดบังการมองเห็น","มีหมอก/ควัน/ฝุ่น",0,0,1,1,1,Low
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"อุทัยธานี","หลับใน","แจ่มใส",0,4,0,4,12,High
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"กาฬสินธุ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"กระบี่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"ตราด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"บุรีรัมย์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","มืดครึ้ม",0,0,1,1,1,Low
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"นครปฐม","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"ยะลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ตราด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สุพรรณบุรี","เมาสุรา","แจ่มใส",0,1,0,1,3,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","อื่นๆ",0,2,0,2,6,Medium
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",0,0,2,2,2,Low
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",0,1,0,1,3,Low
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พิจิตร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"ชุมพร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,1,1,1,Low
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,8,Medium
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,4,4,4,Medium
2025,"มหาสารคาม","ทางโค้งอันตราย","มืดครึ้ม",1,0,0,0,5,Medium
2025,"ฉะเชิงเทรา","เมาสุรา","แจ่มใส",0,1,0,1,3,Low
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
